Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(37.68333, -105.7)",30743,Little Spring Creek,Valid,H5,1937,37.68333,-105.7,2950
Found,"(39.27556, -96.25944)",30739,Kansas State University,Valid,H4,2004,39.27556,-96.25944,301
Found,"(38.83333, -105.8)",30725,Hartsel,Valid,H4,2000,38.83333,-105.8,490
Found,"(39.49133, -112.942)",30666,Greener Reservoir,Valid,H4,2004,39.49133,-112.942,45
Found,"(33.03333, -112.61667)",30664,Gila Bend,Valid,L5,2000,33.03333,-112.61667,3700
Found,"(33.61, -111.72)",30565,Fountain Hills,Valid,CBa,2002,33.61,-111.72,60
Found,"(39.23, -102.99)",30564,Flagler,Valid,H3.8,1972,39.23,-102.99,4100
Found,"(31.38972, -99.40583)",30563,Fife,Valid,H5,2003,31.38972,-99.40583,8600
Found,"(35.08758, -116.74603)",30497,Coyote Dry Lake 249,Valid,H4,2004,35.08758,-116.74603,71.8
Found,"(35.05628, -116.73377)",30496,Coyote Dry Lake 235,Valid,LL6,2004,35.05628,-116.73377,81.4
Found,"(35.08958, -116.75007)",30495,Coyote Dry Lake 230,Valid,H6,2004,35.08958,-116.75007,16.36
Found,"(35.03842, -116.75818)",30494,Coyote Dry Lake 223,Valid,L6,2004,35.03842,-116.75818,512
Found,"(35.04008, -116.75553)",30493,Coyote Dry Lake 222,Valid,L5,2004,35.04008,-116.75553,22.5
Found,"(35.05717, -116.7205)",30492,Coyote Dry Lake 221,Valid,H4,2003,35.05717,-116.7205,54.31
Found,"(35.08838, -116.75283)",30491,Coyote Dry Lake 194,Valid,L6,2004,35.08838,-116.75283,1.47
Found,"(35.05452, -116.73005)",30490,Coyote Dry Lake 176,Valid,H6,2003,35.05452,-116.73005,187.55
Found,"(35.05475, -116.75432)",30489,Coyote Dry Lake 175,Valid,H6,2002,35.05475,-116.75432,36.35
Found,"(35.06888, -116.76197)",30488,Coyote Dry Lake 165,Valid,L6,2002,35.06888,-116.76197,42.57
Found,"(35.05835, -116.77403)",30487,Coyote Dry Lake 164,Valid,H5,2002,35.05835,-116.77403,43
Found,"(35.07, -116.77)",30486,Coyote Dry Lake 163,Valid,H5,2002,35.07,-116.77,16.66
Found,"(35.07802, -116.76777)",30485,Coyote Dry Lake 162,Valid,H5,2002,35.07802,-116.76777,9.87
Found,"(35.06152, -116.76295)",30484,Coyote Dry Lake 160,Valid,H5,2002,35.06152,-116.76295,76.88
Found,"(35.05865, -116.76872)",30483,Coyote Dry Lake 159,Valid,H5,2001,35.05865,-116.76872,17.7
Found,"(35.06847, -116.76905)",30482,Coyote Dry Lake 155,Valid,H4,2001,35.06847,-116.76905,17.02
Found,"(35.07362, -116.76372)",30481,Coyote Dry Lake 153,Valid,H5,2001,35.07362,-116.76372,13.87
Found,"(35.05607, -116.72365)",30480,Coyote Dry Lake 152,Valid,H5,2001,35.05607,-116.72365,10.84
Found,"(35.05602, -116.72368)",30479,Coyote Dry Lake 151,Valid,H6,2001,35.05602,-116.72368,90.04
Found,"(35.06725, -116.74853)",30478,Coyote Dry Lake 142,Valid,H4,2000,35.06725,-116.74853,32.22
Found,"(35.05283, -116.76538)",30477,Coyote Dry Lake 139,Valid,H4,2000,35.05283,-116.76538,10.4
Found,"(35.05283, -116.76645)",30476,Coyote Dry Lake 138,Valid,H5,2000,35.05283,-116.76645,18.3
Found,"(35.0925, -116.76083)",30475,Coyote Dry Lake 134,Valid,H5,2000,35.0925,-116.76083,117.5
Found,"(35.07028, -116.74847)",30474,Coyote Dry Lake 132,Valid,H4,2000,35.07028,-116.74847,17.4
Found,"(35.06785, -116.7494)",30473,Coyote Dry Lake 130,Valid,H4,2000,35.06785,-116.7494,6.1
Found,"(35.06917, -116.7502)",30472,Coyote Dry Lake 129,Valid,H5,2000,35.06917,-116.7502,140
Found,"(35.05947, -116.7685)",30471,Coyote Dry Lake 121,Valid,H4,1999,35.05947,-116.7685,14.2
Found,"(35.05893, -116.76872)",30470,Coyote Dry Lake 120,Valid,H5,1999,35.05893,-116.76872,18.5
Found,"(35.03815, -116.7531)",30469,Coyote Dry Lake 119,Valid,H5,1999,35.03815,-116.7531,3.2
Found,"(35.0501, -116.74443)",30468,Coyote Dry Lake 117,Valid,H3,1999,35.0501,-116.74443,162
Found,"(35.05847, -116.769)",30467,Coyote Dry Lake 116,Valid,H6,1999,35.05847,-116.769,4.4
Found,"(35.05865, -116.76872)",30466,Coyote Dry Lake 115,Valid,H5-6,1999,35.05865,-116.76872,1369
Found,"(35.04625, -116.73547)",30465,Coyote Dry Lake 110,Valid,H4,1999,35.04625,-116.73547,68.02
Found,"(35.05073, -116.76698)",30464,Coyote Dry Lake 105,Valid,H5,1999,35.05073,-116.76698,61.5
Found,"(35.07402, -116.76117)",30463,Coyote Dry Lake 080,Valid,H5,1999,35.07402,-116.76117,278.1
Found,"(35.03815, -116.7531)",30462,Coyote Dry Lake 067,Valid,L6,1999,35.03815,-116.7531,412.05
Found,"(35.05817, -116.7743)",30461,Coyote Dry Lake 064,Valid,H5,1999,35.05817,-116.7743,1364.31
Found,"(35.05878, -116.773)",30460,Coyote Dry Lake 063,Valid,H4,1999,35.05878,-116.773,67.61
Found,"(35.05242, -116.7667)",30459,Coyote Dry Lake 061,Valid,H5,1999,35.05242,-116.7667,2134
Found,"(35.07667, -116.74667)",30458,Coyote Dry Lake 054,Valid,H5,1999,35.07667,-116.74667,392.8
Found,"(35.09373, -116.76343)",30457,Coyote Dry Lake 040,Valid,H4,1999,35.09373,-116.76343,344
Found,"(35.05605, -116.7763)",30456,Coyote Dry Lake 033,Valid,H5,1999,35.05605,-116.7763,5220
Found,"(35.0715, -116.77205)",30455,Coyote Dry Lake 024,Valid,H5,1999,35.0715,-116.77205,2430
Found,"(35.08808, -116.75398)",30454,Coyote Dry Lake 003,Valid,H5,1998,35.08808,-116.75398,255.72
Found,"(35.04753, -116.73092)",30453,Coyote Dry Lake 002,Valid,H5-6,1998,35.04753,-116.73092,106.7
Found,"(35.05017, -116.76683)",30452,Coyote Dry Lake 001,Valid,H5,1995,35.05017,-116.76683,338
Found,"(38.46483, -105.7015)",30451,Cotopaxi,Valid,"Iron, IAB-ung",2000,38.46483,-105.7015,243
Found,"(34.72453, -114.20883)",30446,Buck Mountain Wash,Valid,H3-5,2004,34.72453,-114.20883,798
Found,"(35.8675, -114.19167)",30445,Bluebird,Valid,L6,2002,35.8675,-114.19167,3650
Found,"(33.98333, -115.68333)",30414,Zulu Queen,Valid,L3.7,1976,33.98333,-115.68333,200
Found,"(42.51333, -88.48944)",30400,Zenda,Valid,"Iron, IAB complex",1955,42.51333,-88.48944,3700
Found,"(27.0, -99.0)",30393,Zapata County,Valid,Iron,1930,27,-99,
Found,"(25.00944, -100.75)",30392,Zapaliname,Valid,"Iron, IAB-MG",1998,25.00944,-100.75,85000
Found,"(35.0, -94.75)",30383,Zaffra,Valid,"Iron, IAB-MG",1919,35,-94.75,3000
Found,"(31.65, -106.18333)",30375,Ysleta,Valid,"Iron, ungrouped",1914,31.65,-106.18333,140700
Found,"(28.95, -97.40278)",30371,Yorktown (Texas),Valid,H5,1957,28.95,-97.40278,3500
Fell,"(41.28333, -73.81667)",30370,Yorktown (New York),Valid,L5,1869,41.28333,-73.81667,250
Found,"(40.86667, -97.6)",30368,York (stone),Valid,L6,1928,40.86667,-97.6,1440
Found,"(40.75, -97.5)",30367,York (iron),Valid,"Iron, IIIAB",1878,40.75,-97.5,835
Found,"(38.9, -99.43333)",30364,Yocemento,Valid,L4,1966,38.9,-99.43333,5920
Found,"(40.33083, -102.19583)",24339,Wray (b),Valid,L5,1938,40.33083,-102.19583,3884
Found,"(40.05, -102.2)",24338,Wray (a),Valid,H4-an,1936,40.05,-102.2,281.7
Fell,"(42.38467, -83.6115)",24337,Worden,Valid,L5,1997,42.38467,-83.6115,1551
Found,"(40.76667, -81.95)",24336,Wooster,Valid,"Iron, IAB-sLL",1858,40.76667,-81.95,22700
Found,"(36.5, -99.5)",24333,Woodward County,Valid,H4,1923,36.5,-99.5,45500
Found,"(35.68333, -82.18333)",24332,Wood's Mountain,Valid,"Iron, IVA",1918,35.68333,-82.18333,3867
Found,"(42.34667, -90.1675)",24330,Woodbine,Valid,"Iron, IAB-ung",1953,42.34667,-90.1675,48200
Found,"(44.4, -98.53333)",24328,Wolsey,Valid,"Iron, IAB-MG",1981,44.4,-98.53333,74830
Found,"(47.70667, -119.83)",24320,Withrow,Valid,"Iron, IIIAB?",1950,47.70667,-119.83,8732
Found,"(35.2, -111.4)",24285,Winona,Valid,Winonaite,1928,35.2,-111.4,24000
Found,"(29.96667, -98.11667)",24282,Wimberley,Valid,"Iron, IIIAB",1976,29.96667,-98.11667,7800
Found,"(37.38333, -96.86667)",24280,Wilmot,Valid,H6,1944,37.38333,-96.86667,2000
Found,"(37.53333, -98.36667)",24279,Willowdale,Valid,H4,1951,37.53333,-98.36667,3000
Found,"(36.73333, -102.2)",24278,Willowbar,Valid,L6,1971,36.73333,-102.2,2070
Found,"(43.46667, -106.76667)",24276,Willow Creek,Valid,"Iron, IIIE",1914,43.46667,-106.76667,51000
Found,"(47.98333, -103.65)",24275,Williston,Valid,"Iron, IIIAB",1962,47.98333,-103.65,7645
Found,"(32.18167, -109.7895)",24274,Willcox Playa 002,Valid,L6,2001,32.18167,-109.7895,12
Found,"(32.125, -109.83333)",24273,Willcox Playa,Valid,H4,1979,32.125,-109.83333,61.5
Found,"(34.5, -105.83333)",24271,Willard (b),Valid,H3.6,1934,34.5,-105.83333,12700
Found,"(34.43333, -105.78333)",24270,Willard (a),Valid,L6,1978,34.43333,-105.78333,800
Found,"(45.36667, -122.58333)",24269,Willamette,Valid,"Iron, IIIAB",1902,45.36667,-122.58333,15500000
Found,"(38.15, -102.66667)",24268,Wiley,Valid,"Iron, IIC",1938,38.15,-102.66667,3500
Found,"(43.72444, -116.91167)",24267,Wilder,Valid,H5,1982,43.72444,-116.91167,26600
Found,"(32.56533, -111.7255)",24266,Wildcat Peak,Valid,H5,1998,32.56533,-111.7255,202
Found,"(39.41667, -103.2)",24264,Wild Horse,Valid,H5,1979,39.41667,-103.2,1360
Found,"(37.08333, -101.76667)",24262,Wilburton,Valid,H5,1940,37.08333,-101.76667,207.8
Found,"(34.7, -113.6)",24260,Wikieup,Valid,H5,1965,34.7,-113.6,372
Found,"(33.96667, -112.73333)",24258,Wickenburg (stone),Valid,L6,1940,33.96667,-112.73333,9200
Found,"(34.06667, -98.91667)",24257,Wichita County,Valid,"Iron, IAB-MG",1836,34.06667,-98.91667,145000
Found,"(37.59183, -97.21497)",24256,Wichita,Valid,H6,1971,37.59183,-97.21497,2367
Found,"(42.03333, -101.5)",24254,Whitman,Valid,H5,1937,42.03333,-101.5,221
Found,"(35.85667, -114.22333)",24253,White Hills,Valid,Mesosiderite,1999,35.85667,-114.22333,11.7
Found,"(35.89, -114.20333)",24252,White Elephant,Valid,L4,1997,35.89,-114.20333,10.4
Fell,"(41.71056, -72.67361)",24251,Wethersfield (1982),Valid,L6,1982,41.71056,-72.67361,2756
Fell,"(41.7, -72.65)",24250,Wethersfield (1971),Valid,L6,1971,41.7,-72.65,350
Fell,"(41.266667, -73.266667)",24249,Weston,Valid,H4,1807,41.266667,-73.266667,150000
Found,"(35.0, -94.0)",24248,Western Arkansas,Valid,"Iron, IVA",1890,35,-94,1750
Found,"(33.075, -102.045)",24246,West Point,Valid,L6,1972,33.075,-102.045,3100
Found,"(33.05, -101.93333)",24242,Wells,Valid,LL3.3,1985,33.05,-101.93333,4135
Found,"(33.67833, -102.315)",24241,Wellman (e),Valid,H4,1973,33.67833,-102.315,959
Found,"(33.01667, -102.36667)",24240,Wellman (d),Valid,H,1966,33.01667,-102.36667,1615
Found,"(33.03333, -102.33333)",24239,Wellman (c),Valid,H4,1964,33.03333,-102.33333,45000
Found,"(33.025, -102.41667)",24238,Wellman (b),Valid,OC,1964,33.025,-102.41667,343
Found,"(33.03333, -102.33333)",24237,Wellman (a),Valid,H5,1940,33.03333,-102.33333,55000
Found,"(34.95, -100.25)",24236,Wellington,Valid,H5,1955,34.95,-100.25,13400
Found,"(43.01667, -79.21667)",24235,Welland,Valid,"Iron, IIIAB",1888,43.01667,-79.21667,8200
Found,"(40.35, -103.95)",24234,Weldona,Valid,H4,1934,40.35,-103.95,27700
Found,"(34.25, -112.75)",24227,Weaver Mountains,Valid,"Iron, IVB",1898,34.25,-112.75,38800
Found,"(35.5, -98.7)",24226,Weatherford,Valid,CBa,1926,35.5,-98.7,2000
Found,"(34.80167, -101.68333)",24225,Wayside,Valid,H6,1973,34.80167,-101.68333,23600
Found,"(32.68333, -85.56667)",24224,Waverly,Valid,"Iron, IAB-an",1983,32.68333,-85.56667,4400
Found,"(39.81667, -94.91667)",24220,Wathena,Valid,"Iron, IIAB",1939,39.81667,-94.91667,566
Found,"(47.767778, -119.876389)",24219,Waterville,Valid,"Iron, IAB-ung",1917,47.767778,-119.876389,37125
Fell,"(45.58333, -122.35)",24218,Washougal,Valid,Howardite,1939,45.58333,-122.35,225
Found,"(39.7, -103.16667)",24217,Washington County,Valid,"Iron, ungrouped",1927,39.7,-103.16667,5750
Fell,"(38.68333, -91.15)",24215,Warrenton,Valid,CO3.7,1877,38.68333,-91.15,1600
Found,"(32.90333, -102.925)",24214,Wardswell Draw,Valid,L6,1976,32.90333,-102.925,3000
Found,"(43.0, -107.16667)",24211,Waltman,Valid,L4,1948,43,-107.16667,23410
Fell,"(34.33333, -98.3)",24210,Walters,Valid,L6,1946,34.33333,-98.3,28100
Found,"(43.827, -70.24717)",24209,Walnut Hill,Valid,OC,1978,43.827,-70.24717,220
Found,"(37.325, -84.71667)",24208,Walltown,Valid,L6,1956,37.325,-84.71667,1600
Found,"(35.8, -113.7)",24206,Wallapai,Valid,"Iron, IID",1927,35.8,-113.7,430000
Found,"(34.0, -87.16667)",24204,Walker County,Valid,"Iron, IIAB",1832,34,-87.16667,74800
Found,"(36.63333, -83.83333)",24203,Waldron Ridge,Valid,"Iron, IAB complex",1887,36.63333,-83.83333,13600
Found,"(39.1, -98.83333)",24202,Waldo,Valid,L6,1937,39.1,-98.83333,1300
Found,"(32.4, -101.95)",24201,Walcott,Valid,H5,1983,32.4,-101.95,2000
Found,"(36.15, -101.05)",24200,Waka,Valid,H6,1963,36.15,-101.05,11875
Found,"(38.67667, -113.30167)",24197,Wah Wah Valley,Valid,L6,1986,38.67667,-113.30167,9
Found,"(35.84083, -104.58583)",24196,Wagon Mound,Valid,L6,1932,35.84083,-104.58583,87500
Found,"(39.33333, -98.16667)",24195,Waconda,Valid,L6,1873,39.33333,-98.16667,50000
Found,"(26.75, -105.4)",24178,Villa Natamoros,Valid,L3.7,1987,26.75,-105.4,156
Found,"(26.75, -105.25)",24177,Villa Coronado,Valid,H5,1983,26.75,-105.25,2900
Found,"(34.68333, -101.38333)",24175,Vigo Park,Valid,L4,1934,34.68333,-101.38333,35
Fell,"(43.5, -91.16667)",24168,Vernon County,Valid,H6,1865,43.5,-91.16667,1500
Found,"(39.73633, -96.36133)",24167,Vermillion,Valid,"Pallasite, ungrouped",1991,39.73633,-96.36133,34360
Found,"(32.4, -97.08333)",24160,Venus,Valid,H4,1960,32.4,-97.08333,1013
Found,"(34.25, -119.3)",24159,Ventura,Valid,"Iron, IAB-ung",1953,34.25,-119.3,7700
Found,"(35.46667, -115.66667)",24152,Valley Wells,Valid,L6,1929,35.46667,-115.66667,129.9
Found,"(42.93333, -100.75)",24148,Valentine,Valid,L4,1942,42.93333,-100.75,2300
Found,"(35.51667, -79.96667)",24139,Uwharrie,Valid,"Iron, IIIAB",1930,35.51667,-79.96667,72700
Found,"(29.2, -99.76667)",24137,Uvalde,Valid,H5,1915,29.2,-99.76667,8200
Found,"(36.2, -103.9)",24134,Ute Creek,Valid,H4,1936,36.2,-103.9,1000
Found,"(27.85, -108.23333)",24130,Uruachic,Valid,"Iron, IIIAB",1989,27.85,-108.23333,13000
Found,"(34.75, -84.0)",24122,Union County,Valid,"Iron, IC",1853,34.75,-84,6800
Found,"(34.95, -102.1175)",24113,Umbarger,Valid,L6,1954,34.95,-102.1175,13000
Found,"(37.6, -101.25)",24110,Ulysses,Valid,H4,1927,37.6,-101.25,3900
Found,"(32.25, -110.83333)",24100,Udall Park,Valid,H4,1985,32.25,-110.83333,150
Found,"(46.7, -110.13333)",24093,Twodot,Valid,H6,1999,46.7,-110.13333,21400
Found,"(37.63333, -102.41667)",24092,Two Buttes (b),Valid,H,1970,37.63333,-102.41667,3000
Found,"(37.63333, -102.41667)",24091,Two Buttes (a),Valid,H5,1962,37.63333,-102.41667,19700
Found,"(32.58333, -82.01667)",24090,Twin City,Valid,"Iron, IAB-ung",1955,32.58333,-82.01667,5130
Found,"(34.075, -116.01667)",24089,Twentynine Palms,Valid,L,1944,34.075,-116.01667,19700
Found,"(47.6, -94.76667)",24085,Turtle River,Valid,"Iron, IIIAB",1953,47.6,-94.76667,22390
Found,"(39.68432, -117.62052)",24081,Tungsten Mountain 010,Valid,H5,2001,39.68432,-117.62052,13.4
Found,"(39.68035, -117.62918)",24080,Tungsten Mountain 009,Valid,H4,2001,39.68035,-117.62918,31
Found,"(39.68072, -117.62778)",24079,Tungsten Mountain 008,Valid,H5,2001,39.68072,-117.62778,7
Found,"(39.68518, -117.62105)",24078,Tungsten Mountain 007,Valid,H5,2001,39.68518,-117.62105,44
Found,"(39.68436, -117.62018)",24077,Tungsten Mountain 006,Valid,L6,2001,39.68436,-117.62018,8.8
Found,"(39.6844, -117.62007)",24076,Tungsten Mountain 005,Valid,L6,2001,39.6844,-117.62007,4.7
Found,"(39.68444, -117.62022)",24075,Tungsten Mountain 004,Valid,H6,2001,39.68444,-117.62022,8.1
Found,"(39.68449, -117.62072)",24074,Tungsten Mountain 003,Valid,H4,2001,39.68449,-117.62072,7.8
Found,"(39.67357, -117.60432)",24073,Tungsten Mountain 002,Valid,H6,2001,39.67357,-117.60432,11.3
Found,"(39.63611, -117.65472)",24072,Tungsten Mountain 001,Valid,H4,2000,39.63611,-117.65472,31.73
Found,"(34.555, -101.63)",24070,Tulia (iron),Valid,Iron,1969,34.555,-101.63,190
Found,"(34.60667, -101.76667)",24069,Tulia (d),Valid,H6,1981,34.60667,-101.76667,17700
Found,"(34.53333, -101.7)",24067,Tulia (b),Valid,L6,1917,34.53333,-101.7,4800
Found,"(34.61667, -101.95)",24066,Tulia (a),Valid,H3-4,1917,34.61667,-101.95,86000
Found,"(38.99861, -113.38167)",24065,Tule Valley,Valid,L6,2001,38.99861,-113.38167,17.69
Found,"(34.66667, -102.0)",24064,Tule Draw,Valid,H5,1981,34.66667,-102,2300
Found,"(31.85, -110.96667)",24061,Tucson,Valid,"Iron, ungrouped",1850,31.85,-110.96667,975000
Found,"(41.55, -100.96667)",24056,Tryon,Valid,L6,1934,41.55,-100.96667,15900
Found,"(38.58139, -104.07667)",24055,Truckton,Valid,H5,1978,38.58139,-104.07667,43.4
Fell,"(32.16667, -95.1)",24054,Troup,Valid,L6,1917,32.16667,-95.1,1020
Found,"(29.47, -105.8)",24047,Tres Castillos,Valid,"Iron, ungrouped",1992,29.47,-105.8,150000
Found,"(43.36667, -88.13333)",24045,Trenton,Valid,"Iron, IIIAB",1858,43.36667,-88.13333,505000
Found,"(30.55556, -97.95278)",24041,Travis County (b),Valid,H4,1889,30.55556,-97.95278,5900
Found,"(30.3, -97.7)",24040,Travis County (a),Valid,H5,1889,30.3,-97.7,175400
Found,"(41.11667, -89.80833)",24035,Toulon,Valid,H5,1962,41.11667,-89.80833,1214.5
Fell,"(42.06667, -104.16667)",24032,Torrington,Valid,H6,1944,42.06667,-104.16667,259.1
Found,"(26.83333, -105.41667)",24031,Torreon de Mata,Valid,L6,1983,26.83333,-105.41667,610
Found,"(39.08333, -95.11667)",24025,Tonganoxie,Valid,"Iron, IIIAB",1886,39.08333,-95.11667,11800
Found,"(42.88333, -73.6)",24022,Tomhannock Creek,Valid,H5,1863,42.88333,-73.6,1500
Found,"(32.23333, -88.2)",24021,Tombigbee River,Valid,"Iron, IIG",1859,32.23333,-88.2,43000
Found,"(33.205, -102.65833)",24017,Tokio (b),Valid,OC,1974,33.205,-102.65833,823
Found,"(33.21667, -102.63167)",24016,Tokio (a),Valid,H5,1974,33.21667,-102.63167,6600
Found,"(37.2, -103.58333)",24014,Tobe,Valid,H4,1963,37.2,-103.58333,5386
Found,"(34.25, -96.68333)",24010,Tishomingo,Valid,"Iron, ungrouped",1965,34.25,-96.68333,260000
Found,"(33.38333, -105.25)",24006,Tinnie,Valid,"Iron, IVB",1978,33.38333,-105.25,15300
Found,"(34.98333, -101.73333)",24000,Timber Creek,Valid,L4,1982,34.98333,-101.73333,7
Fell,"(38.2, -89.68333)",23998,Tilden,Valid,L6,1927,38.2,-89.68333,74800
Found,"(34.93333, -102.01667)",23988,Tierra Blanca,Valid,Winonaite,1965,34.93333,-102.01667,860
Found,"(39.52167, -103.16667)",23980,Thurman,Valid,OC,1965,39.52167,-103.16667,1959
Found,"(44.75, -77.58333)",23979,Thurlow,Valid,"Iron, IIIAB",1888,44.75,-77.58333,5500
Found,"(35.28333, -108.26667)",23974,Thoreau,Valid,"Iron, IAB complex",1954,35.28333,-108.26667,500
Found,"(33.46667, -82.48333)",23973,Thomson,Valid,L6,1888,33.46667,-82.48333,218
Found,"(36.4, -103.01667)",23906,Texline,Valid,H5,1937,36.4,-103.01667,26200
Found,"(35.91667, -114.43333)",23895,Temple Bar,Valid,CR,1998,35.91667,-114.43333,106
Found,"(31.11667, -97.3)",23894,Temple,Valid,L6,1959,31.11667,-97.3,5000
Found,"(34.38333, -100.4)",23893,Tell,Valid,H6,1930,34.38333,-100.4,16600
Found,"(34.53333, -108.35)",23892,Techado,Valid,"Iron, IIE",1983,34.53333,-108.35,810
Found,"(36.43333, -83.75)",23891,Tazewell,Valid,"Iron, IAB-sLH",1853,36.43333,-83.75,27000
Found,"(33.23333, -103.44167)",23886,Tatum,Valid,H4,1938,33.23333,-103.44167,1787
Found,"(39.32, -82.37)",23880,Tarlton,Valid,H4,1967,39.32,-82.37,226.5
Found,"(28.5, -106.25)",23876,Tarahumara,Valid,"Iron, IIE",1994,28.5,-106.25,2500
Found,"(31.86667, -99.58333)",23793,Talpa,Valid,H6,1963,31.86667,-99.58333,13000
Found,"(34.45, -104.01667)",23786,Taiban (b),Valid,LL6,1984,34.45,-104.01667,641
Found,"(34.45, -104.01667)",23785,Taiban,Valid,L5,1934,34.45,-104.01667,25000
Found,"(36.45, -104.1)",23781,Tafoya (b),Valid,H5,1951,36.45,-104.1,490
Found,"(36.45, -104.1)",23780,Tafoya (a),Valid,H4,1951,36.45,-104.1,270
Found,"(47.25, -122.41667)",23777,Tacoma,Valid,"Iron, IAB complex",1925,47.25,-122.41667,16.7
Fell,"(33.18836, -86.2945)",23773,Sylacauga,Valid,H4,1954,33.18836,-86.2945,5560
Found,"(32.55, -100.41667)",23770,Sweetwater,Valid,H5,1961,32.55,-100.41667,1760
Found,"(34.95, -107.16667)",23768,Suwanee Spring,Valid,L5,1979,34.95,-107.16667,1200
Found,"(40.6, -97.86667)",23763,Sutton,Valid,H5,1964,40.6,-97.86667,7600
Found,"(34.16667, -115.91667)",23761,Surprise Springs,Valid,"Iron, IAB-sLL",1899,34.16667,-115.91667,1500
Found,"(32.87083, -115.7825)",23759,Superstition Mountain,Valid,H5,2000,32.87083,-115.7825,333
Found,"(35.23617, -117.043)",23758,Superior Valley 011,Valid,H6,2001,35.23617,-117.043,2.52
Found,"(35.23633, -117.04317)",23757,Superior Valley 010,Valid,L4,2001,35.23633,-117.04317,26.26
Found,"(35.23583, -117.044)",23756,Superior Valley 009,Valid,L6,2001,35.23583,-117.044,116.42
Found,"(35.236, -117.044)",23755,Superior Valley 008,Valid,L6,2001,35.236,-117.044,77.44
Found,"(35.23833, -117.03283)",23754,Superior Valley 007,Valid,L6,2001,35.23833,-117.03283,67.21
Found,"(35.23883, -117.02667)",23753,Superior Valley 006,Valid,H6,2001,35.23883,-117.02667,78.5
Found,"(35.238, -117.0365)",23752,Superior Valley 005,Valid,H6,2001,35.238,-117.0365,32.92
Found,"(35.23533, -117.1005)",23751,Superior Valley 004,Valid,L6,2001,35.23533,-117.1005,15.3
Found,"(35.24742, -117.0999)",23750,Superior Valley 003,Valid,H6,2001,35.24742,-117.0999,65.6
Found,"(35.22358, -117.1136)",23749,Superior Valley 002,Valid,L6,2000,35.22358,-117.1136,145
Found,"(35.25448, -117.10972)",23748,Superior Valley 001,Valid,H5,2000,35.25448,-117.10972,3.4
Found,"(39.16278, -112.70806)",23747,Sunstone Knoll,Valid,L6,1985,39.16278,-112.70806,15.6
Found,"(36.0, -101.83333)",23746,Sunray,Valid,H4,1985,36,-101.83333,4300
Found,"(34.2, -86.48333)",23744,Summit,Valid,"Iron, IIAB",1890,34.2,-86.48333,1000
Found,"(34.76667, -102.41667)",23743,Summerfield,Valid,L5,1979,34.76667,-102.41667,6200
Found,"(32.98333, -102.37833)",23740,Sulphur Springs Draw,Valid,H5,1990,32.98333,-102.37833,1892
Fell,"(36.48333, -90.66667)",23736,Success,Valid,L6,1924,36.48333,-90.66667,3500
Found,"(37.5, -100.83333)",23735,Sublette,Valid,L6,1952,37.5,-100.83333,1300
Found,"(29.30167, -103.5)",23734,Study Butte,Valid,H3-6,1983,29.30167,-103.5,417
Fell,"(45.96861, -72.97806)",23733,St-Robert,Valid,H5,1994,45.96861,-72.97806,25400
Found,"(39.22167, -102.59)",23730,Stratton,Valid,OC,1964,39.22167,-102.59,121
Fell,"(41.2, -73.13333)",23728,Stratford,Valid,L6,1974,41.2,-73.13333,50
Found,"(37.28333, -102.2)",23727,Stonington,Valid,H5,1942,37.28333,-102.2,2700
Found,"(40.6, -103.18333)",23723,Sterling,Valid,Pallasite,1900,40.6,-103.18333,679.5
Found,"(38.21667, -79.05)",23716,Staunton,Valid,"Iron, IIIE",1869,38.21667,-79.05,43500
Found,"(32.4375, -81.91667)",23715,Statesboro,Valid,L5,2000,32.4375,-81.91667,2158.26
Found,"(32.0, -98.0)",23693,Squaw Creek,Valid,"Iron, IIAB",,32,-98,14500
Found,"(34.34444, -102.22361)",23691,Springlake,Valid,L6,1980,34.34444,-102.22361,17300
Found,"(37.48333, -102.67667)",23690,Springfield (b),Valid,L,1937,37.48333,-102.67667,229.3
Found,"(37.38333, -102.63333)",23689,Springfield,Valid,L6,1937,37.38333,-102.63333,3200
Found,"(36.34611, -97.185)",23688,Springer,Valid,H5,1965,36.34611,-97.185,8143
Found,"(36.25, -101.21667)",23687,Spearman,Valid,"Iron, IIIAB",1934,36.25,-101.21667,10400
Found,"(34.00111, -102.12833)",23686,Spade,Valid,H6,2000,34.00111,-102.12833,8860
Found,"(44.50642, -81.37217)",23682,Southampton,Valid,Pallasite,2001,44.50642,-81.37217,3580
Found,"(34.26667, -101.25)",23680,South Plains,Valid,L5,1971,34.26667,-101.25,4763
Found,"(43.03333, -78.03333)",23676,South Byron,Valid,"Iron, ungrouped",1915,43.03333,-78.03333,6000
Found,"(41.65, -86.21667)",23675,South Bend,Valid,"Pallasite, PMG",1893,41.65,-86.21667,2500
Found,"(34.03333, -95.58333)",23669,Soper,Valid,"Iron, ungrouped",1938,34.03333,-95.58333,3700
Found,"(41.38333, -123.5)",23666,Somesbar,Valid,H6,1977,41.38333,-123.5,60
Found,"(32.18333, -97.8)",23665,Somervell County,Valid,"Pallasite, PMG",1919,32.18333,-97.8,11800
Found,"(23.63333, -103.66667)",23664,Sombrerete,Valid,"Iron, IAB-sHL",1958,23.63333,-103.66667,10000
